Unnamed: 0,Content
0,"Le prestataire considérera comme strictement confidentiel, et s'interdit de divulguer, toute information, document, donnée ou concept, dont il pourra avoir connaissance à l'occasion du présent contrat. Le prestataire, toutefois, ne saurait être tenu pour responsable d'aucune divulgation si les éléments divulgués étaient dans le domaine public à la date de la divulgation, ou s'il en avait déjà connaissance antérieurement à la date de signature du présent contrat, ou s'il les obtenait de tiers par des moyens légitimes.
"
1,"En cas de force majeure, constatée par l'une des parties, celle-ci doit en informer l'autre partie par écrit dans les meilleurs délais par écrit, télex. L'autre partie disposera de dix jours pour la constater. Les délais prévus pour la livraison seront automatiquement décalés en fonction de la durée de la force majeure."
2,"Le présent contrat est un contrat de prestation ayant pour objet ....
"
3,"En contrepartie de la réalisation des prestations définies, le client versera au prestataire la somme de ... dt.
"
4,"Ce contrat est passé pour une durée de ... mois. Il prendra effet le ... et arrivera à son terme le ....
"
5,"Le prestataire s'engage à mener à bien la tâche précisée à l'Article premier, conformément aux règles de l'art et de la meilleure manière."
6,"Le Client tiendra à la disposition du Prestataire toutes les informations pouvant contribuer à la bonne réalisation de l'objet du présent contrat."
7,"Le prestataire de services s'engage à maintenir un programme d'assurance qualité pour les services désignés ci-après conformément aux règles
d'assurance qualité."
8,"La responsabilité du Prestataire n'est pas engagée dans la mesure où le
préjudice que subirait le Client n'est pas causé par une faute intentionnelle ou lourde des employés du Prestataire."
9,"On entend par force majeure des événements de guerre déclarés ou non déclarés, de grève générale de travail, de maladies épidémiques, de mise en quarantaine, d'incendie, de crues exceptionnelles, d'accidents ou d'autres événements indépendants de la volonté des deux parties. Aucune des deux parties ne sera tenue responsable du retard constaté en raison des événements de force majeure."
