Unnamed: 0,Content
0,"La présente location est consentie pour une durée de ... jours à compter du ... pour se terminer le .... Le bail cesse de plein droit à l'expiration de ce terme sans qu'il soit nécessaire pour le bailleur de notifier le congé. Elle ne pourra être prorogée sans l'accord préalable du bailleur ou de son représentant.
"
1,"La présente location est consentie moyennant un loyer net de ... dinars payable à l'avance pour la durée de la location en jours.
"
2,"Le Locataire s'oblige à remettre à la signature de la présente, en dépôt à titre de cautionnement de ... dinars. Ce montant sera restitué au Locataire après l'expiration ou la résiliation du présent bail, après inspection des lieux et s'assurer de leur garde en bon état. Toute somme dépensée pour les réparations ou entretiens s'avérant nécessaires à la remise en bon état des lieux sera déduite de ladite somme déposée en cautionnement.
"
3,"Le Locataire reconnaît avoir reçu les lieux en bon état et s'engage à les rendre dans le même état à l'expiration de la période de location en jours. Le Locataire sera responsable de toutes les dégradations qui se produisent par sa faute ou sa négligence dans l'entretien des lieux.
"
4,"La présente location est faite aux charges et conditions suivantes que le locataire s'oblige à exécuter et accomplir, à savoir :
1. N'occuper les lieux que bourgeoisement, l'exercice de tout commerce, profession ou industrie étant formellement interdit, le locataire reconnaissant que les locaux faisant l'objet du présent contrat ne lui sont loués qu'à titre de résidence provisoire et de plaisance;
2. Respecter la capacité d'accueil de l'habitation ;
3. Respecter la destination de l'habitation et à n'apporter aucune modification d'agencement des meubles et des lieux ;
4. Ne pouvoir se substituer quelque personne que ce soit, ni sous-louer, en totalité ou partiellement, même gratuitement les lieux loués, sauf accord écrit du bailleur ; 5. Avertir le bailleur dans les plus brefs délais de tout dégât affectant l'habitation, son mobilier ou ses équipements. Les réparations rendues nécessaires par la négligence ou le mauvais entretien en cours de location, seront à la charge du locataire ;
6. Respecter, en cas de location dans un immeuble collectif, le règlement de copropriété et/ou règlement intérieur de l'immeuble qui lui aura été communiqué par le bailleur, son mandataire ou par voie d'affichage;
7. Entretenir le logement loué et le restituer en bon état de propreté et de réparations locatives en fin de location. Si des objets figurant à l'inventaire sont endommagés, le bailleur pourra réclamer leur valeur de remplacement."
5,Toute infraction à l'une des dispositions du présent contrat par le Locataire entraînera sa résiliation pure et simple et donne au Propriétaire le droit à des dommages et intérêts.
6,"Pour l'exécution des présentes, les parties font élection de domicile, chacune à sa demeure."
7,"Par le présent contrat, le Locataire donne en sous-location au Sous-locataire le logement situé à l'adresse suivante : ..."
8,"Par les présentes, le Bailleur s'engage à :
- mettre à disposition du Locataire le Bien Immobilier Loué ainsi que les meubles meublants décrits à l'Inventaire en bon état d'usage et de réparation;
- maintenir le Bien Immobilier Loué et les meubles meublants en bon état et effectuer les réparations nécessaires le cas échéant;"
9,"Le Locataire consent au bail sous les conditions de droit commun en la matière de location saisonnière, en plus de celles spécifiquement stipulées ci-après. Aussi le Locataire, sous peine de résiliation du bail à ses torts, s'engage à :
- payer le loyer, et les charges récupérables.
- s'interdire de sous-louer le Bien Immobilier Loué, sauf accord préalable et écrit du Bailleur.
-  s'interdire d'exercer toute activité commerciale, artisanale ou professionnelle au sein du Bien Immobilier Loué.
-  prendre en l'état le Bien Immobilier Loué, tel que décrit à l'État des Lieux, ainsi que les éléments mobiliers tels que décrits à l'Inventaire et à ne pas élever de réclamation ou de contestation du fait de leur vétusté ou de leur mauvais fonctionnement.
-  prendre à sa charge à l'entretien courant des murs, sols et des meubles meublants garnissant le Bien Immobilier Loué, ainsi que tout autre élément partie intégrante du Bien Immobilier Loué."
10,"Le bail est conclu en considération de la personne du Locataire. Par conséquent, les lieux ne pourront être occupés que par lui, sa famille, les personnes à sa charge, et toute personne qu'il souhaite héberger, sans qu'il ne puisse en résulter une sous-location."
11,"En cas de refus par le Locataire de quitter les lieux, celui-ci consent dès à présent à prendre à sa charge tous frais de procédure engagés par le Bailleur pour lui faire quitter les lieux."
