Unnamed: 0,Content
0,"En cas de résiliation anticipée du présent contrat par l'une des parties, un préavis de ... jours devra être respecté.
Il est également rappelé que le propriétaire du logement situé au ... autorise la sous- location de son bien par une lettre adressée au locataire principal, et dont une copie est annexée au présent contrat.
"
1,Un état des lieux est réalisé à l'entrée du sous-locataire dans le logement (voir pièces jointes au présent contrat). Ce dernier sera confronté à un nouvel état des lieux au moment de sa sortie du logement.
2,"Le locataire principal sous-loue au sous-locataire, et ce dernier accepte de sous-louer, le bien immobilier situé au ..., ci-après dénommé ""le bien"", pour la durée du contrat."
3,"Le présent contrat de sous-location est conclu pour une durée de ... jours, à compter de la date de début de sous-location mentionnée à l'article 3."
4,La sous-location débutera le ... et se terminera le ...
5,Le sous-locataire s'engage à payer au locataire principal un loyer de ... Dinars.
6,"Le sous-locataire n'est pas autorisé à céder son droit à la présente sous-location. Il ne peut, non plus, sous-louer le logement qu'il occupe en qualité de sous-locataire."
7,"Le présent contrat de sous-location prend effet le
et est conclu pour la durée suivante :
Il prendra effet à la date de signature du présent contrat, et pourra être renouvelé sur offre du Locataire à échéance du présent contrat. Il ne pourra cependant pas en tout état de cause excéder la durée du bail principal entre le Locataire et le Bailleur."
8,"Le Sous-locataire déclare destiner les lieux à une utilisation uniquement personnelle. Le logement loué servira donc au Sous-locataire de logement personnel pendant la durée de la sous-location.
Par conséquent, il déclare à ce titre n'y exercer aucune activité professionnelle, industrielle, agricole ou commerciale d'aucune sorte."
9,"Le Sous-locataire s'engage à respecter les règlements en vigueur concernant notamment l'environnement, l'hygiène, la voirie, afin que le Locataire ne puisse être inquiété pour agissements n'étant pas de son fait."
10,"Un état des lieux de sortie sera établi contradictoirement en fin de bail, après que les Parties aient convenu d'un rendez-vous au moins huit jours à l'avance."
11,"Tous les frais liés à l'exécution du présent contrat seront à la charge du Sous-locataire qui s'y oblige."
12,"En cas de non-paiement d'une échéance de loyer, charges, frais ou accessoires, et de tout montant dû par le Sous-locataire au Locataire, si un commandement de payer est demeuré infructueux au bout d'un délai d'un mois. Dans ce cas, le Sous-locataire pourra être expulsé en vertu d'une décision rendue par le tribunal compétent"
